pagamento_id,pedido_id,forma_pagamento,valor_pago,status_pagamento
224,2584,Boleto,150.0,Pendente
225,2752,PIX,150.0,Estornado
226,2886,PIX,250.0,Pendente
227,4259,PIX,99.9,Estornado
228,4531,Cartão,250.0,Pago
229,2024,Boleto,250.0,Estornado
230,1039,Cartão,250.0,Pendente
231,3564,Boleto,150.0,Pendente
232,205,Boleto,150.0,Pago
233,497,Boleto,99.9,Estornado
234,2829,Boleto,99.9,Pendente
235,3611,Cartão,99.9,Pago
236,4369,PIX,250.0,Estornado
237,1154,Cartão,150.0,Estornado
238,1865,Cartão,150.0,Pago
239,306,PIX,250.0,Pago
240,4210,Cartão,250.0,Pago
241,2642,PIX,150.0,Pendente
242,3244,Boleto,150.0,Pago
243,4197,Boleto,150.0,Pendente
244,1288,Cartão,250.0,Estornado
245,2952,Cartão,150.0,Estornado
246,1870,Boleto,99.9,Pago
247,4058,Boleto,99.9,Estornado
248,235,PIX,250.0,Pendente
249,1485,Cartão,99.9,Pago
250,523,Boleto,150.0,Pago
251,1775,Cartão,150.0,Estornado
252,1171,Boleto,99.9,Pendente
253,4919,Cartão,150.0,Estornado
254,1938,PIX,99.9,Pago
255,130,Boleto,99.9,Estornado
256,4574,Boleto,150.0,Estornado
257,4683,Boleto,150.0,Pendente
258,4049,Boleto,150.0,Estornado
259,4090,PIX,150.0,Estornado
260,4025,Boleto,250.0,Pago
261,2067,Cartão,150.0,Pendente
262,2549,Boleto,250.0,Pago
263,619,Cartão,99.9,Pago
264,792,Cartão,250.0,Estornado
265,3294,Boleto,99.9,Estornado
266,2159,PIX,99.9,Pago
267,2352,PIX,150.0,Estornado
268,4319,Cartão,150.0,Pago
269,1445,Boleto,150.0,Pendente
270,4623,PIX,99.9,Pago
271,644,PIX,250.0,Pago
272,3498,PIX,99.9,Pendente
273,4659,PIX,99.9,Estornado
274,2413,PIX,150.0,Estornado
275,3875,Boleto,99.9,Pendente
276,3764,Cartão,250.0,Pendente
277,4320,PIX,150.0,Pago
278,4239,Boleto,250.0,Estornado
279,3601,Cartão,99.9,Estornado
280,1433,PIX,99.9,Pendente
281,3421,Cartão,150.0,Pago
282,4523,Boleto,250.0,Estornado
283,1520,PIX,99.9,Pendente
284,4004,Cartão,150.0,Pendente
285,1528,PIX,250.0,Pendente
286,3838,PIX,150.0,Pendente
287,739,Boleto,250.0,Pago
288,848,Boleto,150.0,Pago
289,2311,PIX,150.0,Pago
290,775,Boleto,250.0,Pago
291,4200,Boleto,250.0,Pendente
292,4411,PIX,150.0,Pendente
293,1483,Boleto,99.9,Pendente
294,733,Cartão,150.0,Estornado
295,3142,Boleto,150.0,Estornado
296,2501,Cartão,250.0,Pago
297,4824,PIX,150.0,Estornado
298,3101,Cartão,150.0,Pago
299,507,Boleto,99.9,Pago
300,145,Cartão,99.9,Pendente
301,672,PIX,99.9,Estornado
302,3440,PIX,250.0,Pago
303,2112,Boleto,250.0,Estornado
304,4498,Boleto,99.9,Pago
305,448,Cartão,250.0,Pendente
306,253,Boleto,99.9,Estornado
307,4806,Cartão,250.0,Pago
308,4832,Boleto,99.9,Estornado
309,224,PIX,250.0,Estornado
310,1956,Cartão,99.9,Pendente
311,1805,PIX,150.0,Pago
312,3704,Boleto,250.0,Estornado
313,1024,Boleto,250.0,Pago
314,3235,PIX,250.0,Pendente
315,1931,Boleto,99.9,Pago
316,4141,PIX,99.9,Pago
317,4412,PIX,150.0,Pago
318,3346,PIX,250.0,Estornado
319,3894,PIX,250.0,Pago
320,2549,Boleto,150.0,Estornado
321,3425,Cartão,150.0,Pago
322,1121,Boleto,150.0,Pago
323,2526,PIX,250.0,Pago
324,2091,PIX,99.9,Estornado
325,2421,Boleto,250.0,Pago
326,3913,Cartão,150.0,Estornado
327,59,PIX,250.0,Estornado
328,4307,Cartão,150.0,Estornado
329,1806,Boleto,250.0,Estornado
330,1150,Boleto,99.9,Pendente
331,709,Boleto,250.0,Pendente
332,1200,PIX,150.0,Pago
333,809,Boleto,150.0,Estornado
334,909,PIX,250.0,Estornado
335,4057,Cartão,250.0,Pago
336,3902,PIX,99.9,Estornado
337,3062,PIX,150.0,Pago
338,1208,PIX,99.9,Estornado
339,4295,Boleto,99.9,Pago
340,1674,Cartão,99.9,Pago
341,1113,PIX,99.9,Pago
342,4465,Boleto,250.0,Pendente
343,2674,PIX,250.0,Pago
344,455,Cartão,250.0,Estornado
345,526,Cartão,250.0,Pago
346,3,PIX,150.0,Pago
347,2940,PIX,99.9,Pago
348,3046,Cartão,150.0,Pago
349,3841,Boleto,150.0,Estornado
350,3437,PIX,99.9,Pago
351,3227,Boleto,99.9,Pendente
352,3986,Cartão,250.0,Estornado
353,1572,Cartão,99.9,Pago
354,3461,PIX,99.9,Pendente
355,3116,PIX,250.0,Pago
356,2883,PIX,99.9,Estornado
357,394,Cartão,150.0,Pago
358,4688,Cartão,150.0,Pendente
359,4509,Cartão,250.0,Pago
360,3993,PIX,150.0,Estornado
361,1054,PIX,150.0,Pendente
362,980,Cartão,150.0,Pago
363,1669,Boleto,99.9,Estornado
364,2174,PIX,150.0,Estornado
365,3479,PIX,150.0,Pago
366,67,Boleto,250.0,Pago
367,4124,PIX,250.0,Pendente
368,2157,Boleto,99.9,Pendente
369,1935,Boleto,250.0,Pago
370,955,Cartão,99.9,Pago
371,2972,Boleto,250.0,Estornado
372,4620,PIX,150.0,Pago
373,2386,PIX,150.0,Pago
374,375,Cartão,150.0,Pago
375,2844,Boleto,99.9,Estornado
376,2991,Cartão,150.0,Pago
377,1755,Boleto,250.0,Estornado
378,1738,PIX,250.0,Estornado
379,1975,Cartão,99.9,Pendente
380,242,PIX,99.9,Pago
381,2687,Cartão,99.9,Pendente
382,4821,Cartão,99.9,Pendente
383,4100,PIX,150.0,Pago
384,4825,Cartão,250.0,Estornado
385,3070,Cartão,99.9,Estornado
386,3418,PIX,250.0,Pendente
387,3893,Cartão,99.9,Pago
388,2396,Cartão,250.0,Estornado
389,4976,PIX,99.9,Pendente
390,2365,PIX,150.0,Pendente
391,1336,Cartão,150.0,Estornado
392,2284,Boleto,250.0,Estornado
393,907,Boleto,150.0,Pago
394,1814,PIX,150.0,Estornado
395,1532,Cartão,99.9,Estornado
396,4622,PIX,150.0,Pendente
397,4984,Boleto,250.0,Estornado
398,1994,Boleto,99.9,Estornado
399,137,Boleto,150.0,Estornado
400,1038,Cartão,150.0,Estornado
401,2415,Cartão,99.9,Estornado
402,4140,PIX,250.0,Pago
403,4441,Boleto,150.0,Pendente
404,669,Boleto,150.0,Pendente
405,2617,Boleto,250.0,Pendente
406,303,Boleto,150.0,Estornado
407,1861,Boleto,250.0,Pago
408,1270,PIX,250.0,Pendente
409,716,PIX,250.0,Pendente
410,1987,Boleto,250.0,Pago
411,515,Cartão,250.0,Pago
412,1032,PIX,99.9,Estornado
413,4867,Boleto,250.0,Pago
414,4611,Cartão,250.0,Estornado
415,1261,Boleto,250.0,Pendente
416,3880,Cartão,99.9,Pago
417,1826,Cartão,250.0,Pago
418,4399,Boleto,99.9,Pago
419,2504,Boleto,150.0,Pago
420,1468,Boleto,150.0,Pago
421,1484,Boleto,250.0,Pendente
422,4959,Cartão,250.0,Pago
423,386,Boleto,250.0,Pendente
424,2335,Boleto,250.0,Pendente
425,3884,PIX,150.0,Estornado
426,4746,Cartão,150.0,Estornado
427,3368,PIX,99.9,Estornado
428,3353,Cartão,99.9,Estornado
429,2022,Cartão,150.0,Pendente
430,4790,Boleto,250.0,Estornado
431,1520,Cartão,250.0,Estornado
432,1092,Boleto,99.9,Estornado
433,4253,Cartão,250.0,Estornado
434,147,Cartão,250.0,Estornado
435,1249,PIX,250.0,Pago
436,1007,PIX,250.0,Pendente
437,1271,PIX,150.0,Pendente
438,1003,Cartão,150.0,Estornado
439,4985,Cartão,150.0,Pago
440,1998,PIX,99.9,Pago
441,4664,Boleto,99.9,Pendente
442,467,Cartão,150.0,Pago
443,3054,PIX,150.0,Pendente
444,609,Boleto,250.0,Pendente
445,3884,PIX,99.9,Estornado
446,40,PIX,99.9,Estornado
447,2508,Boleto,250.0,Estornado
448,1016,Cartão,150.0,Estornado
449,4407,Cartão,150.0,Pago
450,528,Boleto,99.9,Estornado
451,4345,Boleto,250.0,Estornado
452,4493,Cartão,250.0,Pendente
453,1076,Cartão,150.0,Pendente
454,1646,Cartão,250.0,Pendente
455,1518,PIX,250.0,Pendente
456,3797,PIX,99.9,Pendente
457,1436,Boleto,250.0,Estornado
458,2533,Cartão,99.9,Estornado
459,3513,PIX,250.0,Estornado
460,2977,Boleto,99.9,Pendente
461,2149,Cartão,150.0,Estornado
462,3981,Boleto,150.0,Pago
463,2729,Cartão,99.9,Estornado
464,1537,Cartão,250.0,Pendente
465,4983,Boleto,99.9,Estornado
466,897,Cartão,150.0,Pago
467,679,PIX,99.9,Pago
468,2475,PIX,250.0,Pago
469,422,Cartão,99.9,Pago
470,2195,PIX,250.0,Pago
471,2752,Cartão,150.0,Pendente
472,1064,PIX,99.9,Estornado
473,1410,PIX,250.0,Pendente
474,1530,Cartão,99.9,Pago
475,1597,Boleto,150.0,Pago
476,2736,Cartão,250.0,Estornado
477,1208,Boleto,150.0,Pago
478,1205,Cartão,150.0,Estornado
479,848,PIX,99.9,Estornado
480,2439,PIX,99.9,Pago
481,3855,Cartão,150.0,Pendente
482,3418,Boleto,250.0,Estornado
483,1132,Boleto,99.9,Estornado
484,2034,PIX,99.9,Pendente
485,907,PIX,99.9,Pago
486,4160,Cartão,99.9,Pendente
487,4554,Cartão,150.0,Pendente
488,3631,PIX,99.9,Pago
489,2037,Boleto,99.9,Estornado
490,2099,Cartão,99.9,Pendente
491,1242,Cartão,250.0,Pago
492,1849,Cartão,250.0,Estornado
493,2589,Boleto,250.0,Pago
494,1761,Cartão,99.9,Pendente
495,403,PIX,150.0,Estornado
496,182,Cartão,250.0,Estornado
497,952,PIX,250.0,Estornado
498,4558,Boleto,250.0,Estornado
499,4613,PIX,250.0,Pendente
500,1659,Boleto,150.0,Pendente
501,366,PIX,250.0,Pendente
502,2404,Cartão,99.9,Pago
503,3427,PIX,150.0,Estornado
504,652,PIX,99.9,Pago
505,3524,PIX,250.0,Estornado
506,2097,Cartão,99.9,Pago
507,1529,Cartão,250.0,Pendente
508,3024,Cartão,250.0,Estornado
509,3401,Boleto,99.9,Pendente
510,1388,Boleto,150.0,Estornado
511,1506,PIX,150.0,Estornado
512,2726,Boleto,150.0,Pendente
513,1464,Boleto,99.9,Pendente
514,624,PIX,99.9,Estornado
515,4700,Boleto,250.0,Pago
516,4928,Boleto,99.9,Estornado
517,673,Cartão,250.0,Pendente
518,3215,Cartão,99.9,Pendente
519,1041,PIX,150.0,Pendente
520,3425,Boleto,150.0,Pendente
521,187,Cartão,150.0,Pendente
522,3845,PIX,250.0,Estornado
523,3923,PIX,250.0,Pago
524,3718,Boleto,150.0,Estornado
525,3658,Cartão,250.0,Pendente
526,1824,Boleto,150.0,Estornado
527,559,Boleto,250.0,Pendente
528,930,PIX,150.0,Estornado
529,3548,Cartão,99.9,Estornado
530,4470,Cartão,99.9,Estornado
531,1528,PIX,99.9,Pago
532,3076,Boleto,99.9,Pendente
533,580,Boleto,250.0,Pendente
534,2373,PIX,150.0,Pendente
535,1203,PIX,150.0,Pago
536,1108,PIX,150.0,Pendente
537,4051,Boleto,99.9,Pago
538,4481,Boleto,99.9,Pago
539,1654,Boleto,99.9,Estornado
540,144,Boleto,250.0,Estornado
541,3124,Cartão,250.0,Pago
542,1901,Cartão,150.0,Pendente
543,3950,PIX,99.9,Pendente
544,3884,PIX,99.9,Estornado
545,1288,PIX,250.0,Pago
546,4527,Boleto,99.9,Pendente
547,4721,Boleto,150.0,Estornado
548,712,PIX,250.0,Pendente
549,2402,Cartão,99.9,Pago
550,2,PIX,150.0,Estornado
551,248,Cartão,250.0,Pago
552,741,Boleto,99.9,Pago
553,2099,Boleto,99.9,Pago
554,3868,PIX,99.9,Pago
555,2318,Boleto,150.0,Estornado
556,3367,PIX,250.0,Estornado
557,3180,Cartão,150.0,Pago
558,2206,Cartão,150.0,Estornado
559,71,Cartão,250.0,Pendente
560,2934,Boleto,250.0,Estornado
561,44,Boleto,150.0,Pago
562,1182,Cartão,250.0,Pago
563,2245,PIX,99.9,Estornado
564,1840,Boleto,150.0,Pendente
565,4672,Cartão,99.9,Pago
566,2596,Cartão,99.9,Estornado
567,3467,Boleto,250.0,Pago
568,1838,Boleto,250.0,Pago
569,4995,Boleto,99.9,Estornado
570,2410,PIX,150.0,Pendente
571,3413,PIX,250.0,Pago
572,2325,PIX,150.0,Estornado
573,2830,PIX,150.0,Estornado
574,157,Cartão,250.0,Estornado
575,4381,PIX,250.0,Estornado
576,4727,Cartão,99.9,Pendente
577,1958,Boleto,150.0,Pendente
578,4237,Cartão,250.0,Estornado
579,3784,Cartão,150.0,Pendente
580,1744,Boleto,150.0,Pago
581,4587,PIX,150.0,Pendente
582,468,Cartão,99.9,Pendente
583,65,Cartão,250.0,Pago
584,3120,Cartão,99.9,Pago
585,675,Cartão,99.9,Pendente
586,243,Boleto,250.0,Pago
587,3109,Cartão,150.0,Estornado
588,1205,PIX,250.0,Estornado
589,3299,PIX,150.0,Pendente
590,2762,Cartão,99.9,Pendente
591,1367,PIX,150.0,Estornado
592,1464,Cartão,250.0,Pago
593,3698,Cartão,250.0,Pago
594,1097,PIX,250.0,Pendente
595,3345,PIX,99.9,Pago
596,721,PIX,99.9,Pago
597,1845,PIX,150.0,Pago
598,2813,PIX,150.0,Estornado
599,3387,Cartão,150.0,Estornado
600,1870,Boleto,99.9,Pendente
601,1967,PIX,150.0,Estornado
602,1213,Boleto,99.9,Pendente
603,2068,PIX,250.0,Pendente
604,3908,Boleto,150.0,Pago
605,292,Cartão,150.0,Estornado
606,1736,PIX,150.0,Pago
607,4019,Cartão,250.0,Estornado
608,3740,Boleto,150.0,Pendente
609,3009,Cartão,150.0,Pendente
610,4937,Cartão,250.0,Estornado
611,2057,PIX,250.0,Estornado
612,4311,Boleto,250.0,Pago
613,2013,Cartão,250.0,Pendente
614,1719,Cartão,250.0,Estornado
615,3908,Boleto,99.9,Pago
616,954,Boleto,150.0,Pendente
617,200,Cartão,250.0,Pago
618,1950,Boleto,250.0,Pago
619,611,Cartão,99.9,Pago
620,3079,Cartão,99.9,Pago
621,3307,Boleto,250.0,Pago
622,4502,Boleto,150.0,Estornado
623,304,Cartão,99.9,Estornado
624,2272,PIX,250.0,Pago
625,3653,Boleto,250.0,Pago
626,1010,Boleto,150.0,Estornado
627,1314,Cartão,250.0,Pendente
628,3352,Cartão,99.9,Pendente
629,1304,Boleto,99.9,Pendente
630,3205,PIX,99.9,Pendente
631,131,PIX,150.0,Pago
632,75,Boleto,99.9,Pendente
633,2151,PIX,99.9,Estornado
634,3587,PIX,99.9,Pago
635,1086,PIX,99.9,Pago
636,3501,Cartão,150.0,Estornado
637,2671,Boleto,99.9,Pendente
638,84,Boleto,99.9,Estornado
639,3267,PIX,250.0,Pendente
640,1489,PIX,150.0,Pendente
641,4059,Cartão,99.9,Pendente
642,4951,PIX,250.0,Pago
643,837,Cartão,99.9,Pago
644,458,PIX,99.9,Pago
645,4582,Cartão,150.0,Pendente
646,128,Boleto,150.0,Pago
647,4884,PIX,150.0,Estornado
648,3353,Boleto,250.0,Estornado
649,4691,PIX,250.0,Estornado
650,3250,PIX,99.9,Estornado
651,4436,Cartão,99.9,Pendente
652,4701,PIX,99.9,Pendente
653,4152,PIX,99.9,Pendente
654,4422,Cartão,99.9,Estornado
655,24,PIX,99.9,Pendente
656,4233,PIX,150.0,Pago
657,2576,Cartão,150.0,Pago
658,1842,PIX,150.0,Estornado
659,3727,Boleto,150.0,Pago
660,4080,Boleto,250.0,Pago
661,4177,PIX,150.0,Estornado
662,1275,PIX,99.9,Pago
663,2803,Cartão,99.9,Pendente
664,550,Boleto,250.0,Pendente
665,780,PIX,99.9,Pago
666,627,PIX,250.0,Estornado
667,3734,PIX,150.0,Pago
668,2389,Boleto,250.0,Pago
669,594,Boleto,150.0,Pago
670,4069,Cartão,250.0,Pago
671,3889,Boleto,99.9,Estornado
672,1614,Cartão,150.0,Estornado
673,2196,PIX,99.9,Pendente
674,4882,Boleto,250.0,Pago
675,149,PIX,99.9,Estornado
676,1854,PIX,99.9,Pago
677,4732,Cartão,250.0,Pago
678,2350,PIX,250.0,Pago
679,2954,Boleto,250.0,Estornado
680,1923,PIX,99.9,Estornado
681,3410,Boleto,99.9,Estornado
682,527,Cartão,99.9,Pago
683,609,PIX,250.0,Estornado
684,850,Boleto,250.0,Estornado
685,3857,PIX,250.0,Pago
686,3729,Cartão,99.9,Pago
687,3291,Boleto,150.0,Pago
688,3937,Cartão,99.9,Pago
689,408,Cartão,150.0,Pendente
690,1838,PIX,150.0,Pendente
691,2547,Cartão,150.0,Pendente
692,1245,Boleto,99.9,Pendente
693,819,Boleto,150.0,Pendente
694,4850,Cartão,150.0,Pago
695,3230,PIX,99.9,Pago
696,4267,Boleto,150.0,Pendente
697,408,Cartão,99.9,Estornado
698,827,Boleto,99.9,Estornado
699,2000,PIX,150.0,Pago
700,1580,Cartão,99.9,Pago
701,1312,Cartão,99.9,Pago
702,3795,Boleto,99.9,Pago
703,788,Boleto,250.0,Pendente
704,813,PIX,250.0,Estornado
705,3132,Cartão,99.9,Estornado
706,2360,Cartão,250.0,Estornado
707,127,Boleto,99.9,Pago
708,3518,Boleto,99.9,Estornado
709,1069,Cartão,150.0,Pago
710,3830,Cartão,150.0,Pendente
711,1311,PIX,250.0,Pendente
712,3833,PIX,99.9,Pendente
713,2167,Boleto,150.0,Estornado
714,886,Boleto,150.0,Estornado
715,2861,Cartão,250.0,Pago
716,4638,Cartão,150.0,Pago
717,3853,Boleto,150.0,Pendente
718,2058,Boleto,250.0,Pendente
719,1338,Cartão,150.0,Pendente
720,2791,Boleto,150.0,Estornado
721,2102,PIX,99.9,Estornado
722,2334,Cartão,150.0,Estornado
723,448,Boleto,250.0,Estornado
724,4514,Boleto,250.0,Pendente
725,4686,Boleto,99.9,Pago
726,349,Cartão,99.9,Pendente
727,1930,Boleto,99.9,Pendente
728,4942,Boleto,250.0,Pago
729,2919,Cartão,250.0,Pendente
730,4473,PIX,99.9,Pago
731,3925,PIX,250.0,Pendente
732,4997,PIX,99.9,Pendente
733,2431,Boleto,250.0,Pendente
734,4865,Cartão,99.9,Pago
735,2820,Cartão,250.0,Estornado
736,452,PIX,99.9,Pendente
737,3096,Boleto,250.0,Pendente
738,1352,PIX,150.0,Pendente
739,1002,Boleto,99.9,Pendente
740,1852,Boleto,99.9,Pendente
741,2117,PIX,99.9,Estornado
742,4671,Boleto,250.0,Pendente
743,4344,Boleto,99.9,Estornado
744,380,Boleto,250.0,Estornado
745,2771,PIX,99.9,Estornado
746,4351,PIX,99.9,Pendente
747,2621,PIX,99.9,Pago
748,1315,Boleto,99.9,Pendente
749,292,Cartão,99.9,Pago
750,492,PIX,250.0,Pendente
751,2167,Cartão,99.9,Estornado
752,1305,PIX,99.9,Pago
753,3418,Boleto,150.0,Pago
754,1726,Cartão,150.0,Pendente
755,4933,Boleto,250.0,Pendente
756,4992,PIX,150.0,Pago
757,398,PIX,150.0,Pago
758,3879,Cartão,250.0,Pendente
759,246,Cartão,150.0,Pendente
760,3474,Boleto,99.9,Estornado
761,1793,Boleto,99.9,Estornado
762,4177,Boleto,150.0,Estornado
763,2050,Boleto,250.0,Pago
764,3230,PIX,99.9,Pago
765,1280,PIX,99.9,Pendente
766,3225,Boleto,99.9,Pago
767,3401,PIX,250.0,Pago
768,894,Boleto,99.9,Estornado
769,2348,PIX,150.0,Pago
