entrega_id,pedido_id,transportadora,data_envio,data_entrega,frete
68,3318,Correios,2025-05-22,2025-05-21,-5
69,2416,Correios,2025-05-31,2025-06-01,-5
70,183,Correios,2025-06-16,2025-06-20,35
71,4933,LogX,2025-02-09,2025-02-07,35
72,438,Correios,2025-02-22,2025-03-02,-5
73,3190,Correios,2025-02-07,2025-02-12,-5
74,2325,Correios,2025-02-28,2025-03-01,-5
75,1981,LogX,2025-05-05,2025-05-04,20
76,4083,Correios,2025-04-06,2025-04-04,-5
77,2808,LogX,2025-06-22,2025-07-01,35
78,3651,Correios,2025-03-25,2025-03-26,20
79,2965,LogX,2025-01-29,2025-01-27,20
80,4687,LogX,2025-01-31,2025-02-10,-5
81,1898,Correios,2025-01-10,2025-01-10,35
82,593,Correios,2025-02-16,2025-02-20,20
83,2987,Correios,2025-01-24,2025-01-24,35
84,4077,LogX,2025-04-01,2025-04-09,-5
85,461,Correios,2025-01-07,2025-01-06,35
86,305,Correios,2025-04-14,2025-04-18,20
87,4324,LogX,2025-01-27,2025-02-05,-5
88,1886,LogX,2025-01-21,2025-01-23,20
89,4412,LogX,2025-02-05,2025-02-15,-5
90,3450,LogX,2025-02-26,2025-03-02,-5
91,627,Correios,2025-06-19,2025-06-23,35
92,1662,Correios,2025-02-19,2025-02-17,35
93,1684,LogX,2025-02-04,2025-02-13,35
94,2682,Correios,2025-01-13,2025-01-21,-5
95,1877,LogX,2025-04-23,2025-04-22,20
96,442,LogX,2025-01-18,2025-01-26,35
97,4632,Correios,2025-06-23,2025-07-01,35
98,1289,LogX,2025-01-12,2025-01-13,35
99,898,LogX,2025-01-08,2025-01-06,-5
100,285,Correios,2025-02-23,2025-02-27,20
101,2247,Correios,2025-02-11,2025-02-20,-5
102,2144,LogX,2025-06-26,2025-07-06,-5
103,3435,Correios,2025-03-08,2025-03-13,-5
104,3557,LogX,2025-05-25,2025-05-26,35
105,1045,LogX,2025-06-29,2025-07-04,35
106,2624,Correios,2025-01-21,2025-01-28,20
107,4903,LogX,2025-05-11,2025-05-18,-5
108,167,Correios,2025-05-11,2025-05-15,20
109,4012,Correios,2025-04-23,2025-04-27,-5
110,496,LogX,2025-06-01,2025-06-10,-5
111,72,LogX,2025-02-11,2025-02-17,20
112,532,Correios,2025-02-08,2025-02-06,-5
113,1010,Correios,2025-04-08,2025-04-14,35
114,4416,Correios,2025-01-18,2025-01-23,-5
115,511,LogX,2025-06-23,2025-06-21,-5
116,1047,LogX,2025-05-12,2025-05-18,-5
117,4634,LogX,2025-06-11,2025-06-13,-5
118,3064,LogX,2025-06-19,2025-06-29,35
119,442,LogX,2025-02-02,2025-02-10,35
120,1402,LogX,2025-03-27,2025-04-04,-5
121,2399,Correios,2025-05-17,2025-05-25,35
122,241,Correios,2025-02-01,2025-02-09,35
123,4092,Correios,2025-04-18,2025-04-21,35
124,4962,LogX,2025-03-18,2025-03-20,-5
125,2647,LogX,2025-05-09,2025-05-07,20
126,1579,LogX,2025-06-01,2025-06-07,-5
127,1542,LogX,2025-02-27,2025-03-06,35
128,925,Correios,2025-05-03,2025-05-01,-5
129,3519,Correios,2025-01-20,2025-01-29,-5
130,3746,Correios,2025-01-12,2025-01-14,20
131,690,LogX,2025-05-26,2025-05-24,35
132,2771,LogX,2025-01-24,2025-02-01,20
133,296,Correios,2025-01-15,2025-01-25,-5
134,1188,LogX,2025-06-25,2025-06-29,35
135,1458,Correios,2025-06-16,2025-06-20,20
136,3836,Correios,2025-01-13,2025-01-19,-5
137,4967,LogX,2025-03-11,2025-03-21,20
138,4057,Correios,2025-02-05,2025-02-14,20
139,49,LogX,2025-05-02,2025-05-01,20
140,2713,Correios,2025-02-02,2025-02-08,-5
141,3705,LogX,2025-05-28,2025-05-27,20
142,3259,LogX,2025-01-26,2025-01-28,-5
143,1780,LogX,2025-01-26,2025-02-02,35
144,4681,Correios,2025-03-10,2025-03-13,-5
145,3410,LogX,2025-04-11,2025-04-17,35
146,4366,LogX,2025-02-05,2025-02-03,35
147,4266,Correios,2025-04-10,2025-04-15,-5
148,4376,LogX,2025-02-08,2025-02-14,35
149,2685,LogX,2025-04-06,2025-04-06,20
150,3603,Correios,2025-03-13,2025-03-14,-5
151,3887,LogX,2025-05-27,2025-06-06,35
152,1054,LogX,2025-05-31,2025-06-08,-5
153,4177,LogX,2025-01-16,2025-01-22,20
154,3797,Correios,2025-02-19,2025-02-19,20
155,1434,LogX,2025-02-08,2025-02-12,35
156,2535,LogX,2025-04-29,2025-05-08,-5
157,2965,LogX,2025-04-18,2025-04-26,-5
158,1852,LogX,2025-06-16,2025-06-20,35
159,4940,LogX,2025-05-11,2025-05-11,35
160,1613,LogX,2025-05-05,2025-05-12,35
161,1192,LogX,2025-01-02,2025-01-12,20
162,1241,Correios,2025-06-30,2025-07-02,-5
163,1519,LogX,2025-02-26,2025-03-08,35
164,4482,Correios,2025-03-06,2025-03-05,35
165,3045,LogX,2025-04-16,2025-04-23,20
166,2797,LogX,2025-06-13,2025-06-15,-5
167,2461,Correios,2025-02-10,2025-02-18,-5
168,3704,Correios,2025-04-23,2025-04-30,-5
169,1692,Correios,2025-05-10,2025-05-11,20
170,1672,Correios,2025-05-16,2025-05-17,-5
171,204,LogX,2025-05-01,2025-05-09,20
172,641,LogX,2025-03-07,2025-03-07,20
173,3564,Correios,2025-05-31,2025-06-03,35
174,1180,LogX,2025-03-28,2025-03-29,-5
175,2926,Correios,2025-04-11,2025-04-15,20
176,2971,LogX,2025-06-25,2025-06-25,20
177,1558,LogX,2025-01-13,2025-01-12,20
178,1483,LogX,2025-05-07,2025-05-15,20
179,2823,LogX,2025-03-28,2025-03-31,20
180,4840,Correios,2025-02-09,2025-02-09,35
181,2305,Correios,2025-04-20,2025-04-26,20
182,4065,Correios,2025-04-10,2025-04-13,20
183,4858,Correios,2025-01-14,2025-01-18,35
184,4214,LogX,2025-01-15,2025-01-20,20
185,683,LogX,2025-05-08,2025-05-14,20
186,2244,Correios,2025-05-11,2025-05-12,-5
187,3816,LogX,2025-04-08,2025-04-10,-5
188,2054,Correios,2025-02-22,2025-02-21,35
189,2534,LogX,2025-02-19,2025-02-28,20
190,802,LogX,2025-02-25,2025-02-25,-5
191,2912,LogX,2025-03-12,2025-03-12,20
192,135,LogX,2025-02-08,2025-02-07,20
193,1476,LogX,2025-04-23,2025-04-21,35
194,4300,Correios,2025-02-17,2025-02-24,20
195,2067,LogX,2025-01-07,2025-01-07,-5
196,2374,LogX,2025-04-12,2025-04-17,20
197,864,Correios,2025-03-22,2025-03-29,20
198,3068,Correios,2025-05-19,2025-05-28,-5
199,3390,LogX,2025-05-26,2025-06-01,35
200,3805,Correios,2025-02-20,2025-03-01,-5
201,821,LogX,2025-04-15,2025-04-22,20
202,757,LogX,2025-05-19,2025-05-24,-5
203,3457,LogX,2025-05-09,2025-05-13,-5
204,1485,LogX,2025-04-12,2025-04-13,35
205,1212,Correios,2025-05-16,2025-05-17,-5
206,3785,Correios,2025-06-16,2025-06-20,20
207,3716,Correios,2025-02-12,2025-02-19,-5
208,1034,Correios,2025-05-07,2025-05-06,-5
209,330,LogX,2025-05-01,2025-05-03,35
210,1273,Correios,2025-02-13,2025-02-18,20
211,2308,Correios,2025-05-24,2025-05-31,-5
212,1943,Correios,2025-05-01,2025-05-11,35
213,4993,LogX,2025-04-03,2025-04-11,35
214,1495,Correios,2025-03-13,2025-03-18,20
215,4648,Correios,2025-05-02,2025-05-05,35
216,75,Correios,2025-04-06,2025-04-07,20
217,1491,Correios,2025-06-30,2025-07-03,-5
218,4028,Correios,2025-04-14,2025-04-17,-5
219,2855,LogX,2025-05-22,2025-05-28,20
220,1,LogX,2025-04-06,2025-04-12,20
221,603,LogX,2025-02-22,2025-02-23,20
222,794,Correios,2025-03-31,2025-04-10,-5
223,2580,LogX,2025-04-14,2025-04-20,-5
224,4569,Correios,2025-05-08,2025-05-15,20
225,600,Correios,2025-01-17,2025-01-25,20
226,2962,LogX,2025-02-19,2025-02-21,-5
227,81,Correios,2025-04-18,2025-04-16,-5
228,1917,Correios,2025-03-23,2025-03-31,-5
229,3312,LogX,2025-01-25,2025-01-29,-5
230,2935,Correios,2025-03-28,2025-03-31,35
231,1398,Correios,2025-04-09,2025-04-08,35
232,4632,LogX,2025-05-02,2025-05-10,20
233,41,Correios,2025-06-02,2025-06-10,-5
234,1960,LogX,2025-03-30,2025-03-29,20
235,1943,LogX,2025-04-16,2025-04-14,-5
236,432,LogX,2025-04-05,2025-04-07,35
237,367,Correios,2025-04-16,2025-04-19,-5
238,3890,Correios,2025-04-06,2025-04-14,-5
239,2823,LogX,2025-02-11,2025-02-10,35
240,3322,LogX,2025-04-22,2025-04-27,35
241,1198,Correios,2025-05-24,2025-05-27,-5
242,4377,Correios,2025-06-29,2025-07-01,35
243,1707,Correios,2025-05-30,2025-05-30,35
244,3308,LogX,2025-05-26,2025-05-29,20
245,3858,LogX,2025-05-06,2025-05-13,20
246,4524,LogX,2025-01-09,2025-01-13,35
247,1371,Correios,2025-01-25,2025-01-25,-5
248,321,Correios,2025-03-23,2025-03-31,35
249,2730,LogX,2025-06-26,2025-06-28,35
250,999,LogX,2025-04-04,2025-04-03,-5
251,258,LogX,2025-02-21,2025-02-22,-5
252,1510,LogX,2025-04-13,2025-04-17,-5
253,3790,LogX,2025-01-04,2025-01-05,-5
254,24,LogX,2025-01-08,2025-01-09,-5
255,2341,LogX,2025-01-12,2025-01-21,20
256,3968,Correios,2025-03-03,2025-03-02,20
257,3929,Correios,2025-04-21,2025-04-30,-5
258,1222,Correios,2025-04-04,2025-04-02,-5
259,3011,Correios,2025-03-02,2025-03-07,35
260,596,LogX,2025-05-27,2025-06-06,-5
261,4430,LogX,2025-04-17,2025-04-19,35
262,3188,Correios,2025-06-29,2025-07-01,-5
263,1169,Correios,2025-01-30,2025-02-01,-5
264,2420,Correios,2025-03-19,2025-03-18,35
265,2849,LogX,2025-03-26,2025-03-28,35
266,36,LogX,2025-06-30,2025-07-03,-5
267,3821,Correios,2025-03-28,2025-04-03,-5
268,3039,LogX,2025-05-07,2025-05-16,35
269,1965,LogX,2025-04-04,2025-04-11,-5
270,2935,Correios,2025-05-05,2025-05-04,35
271,3405,Correios,2025-03-19,2025-03-22,-5
272,3447,Correios,2025-06-28,2025-06-26,-5
273,1701,Correios,2025-03-16,2025-03-24,35
274,4368,Correios,2025-05-10,2025-05-18,35
275,2106,Correios,2025-06-13,2025-06-12,20
276,3636,LogX,2025-05-24,2025-05-25,20
277,2299,Correios,2025-04-17,2025-04-16,-5
278,3162,LogX,2025-01-30,2025-02-09,35
279,2246,Correios,2025-05-24,2025-05-22,-5
280,2616,Correios,2025-03-11,2025-03-15,35
281,525,Correios,2025-06-01,2025-06-02,20
282,3890,LogX,2025-01-08,2025-01-16,20
283,1851,Correios,2025-04-23,2025-04-21,35
284,4947,LogX,2025-03-09,2025-03-18,-5
285,3984,LogX,2025-01-22,2025-01-29,35
286,443,Correios,2025-04-22,2025-04-25,20
287,2021,Correios,2025-06-18,2025-06-28,-5
288,1026,LogX,2025-01-05,2025-01-07,-5
289,816,Correios,2025-05-28,2025-06-07,20
290,4755,Correios,2025-02-26,2025-03-04,-5
291,4256,Correios,2025-06-24,2025-06-29,-5
292,4319,LogX,2025-01-27,2025-02-04,35
293,4145,Correios,2025-01-30,2025-01-28,35
294,22,LogX,2025-01-16,2025-01-17,35
295,1367,LogX,2025-03-22,2025-03-31,-5
296,3958,Correios,2025-06-20,2025-06-29,20
297,2286,Correios,2025-05-29,2025-06-02,35
298,4193,Correios,2025-01-14,2025-01-21,35
299,2533,LogX,2025-06-13,2025-06-19,20
300,631,LogX,2025-06-10,2025-06-13,35
301,2323,LogX,2025-02-15,2025-02-16,20
302,2111,LogX,2025-03-25,2025-04-03,35
303,195,LogX,2025-04-04,2025-04-05,20
304,2153,LogX,2025-05-30,2025-06-06,-5
305,3542,LogX,2025-02-14,2025-02-22,20
306,760,Correios,2025-06-03,2025-06-04,20
307,268,LogX,2025-06-22,2025-06-21,-5
308,4593,LogX,2025-02-20,2025-02-23,35
309,4572,LogX,2025-04-10,2025-04-17,-5
310,3729,Correios,2025-02-28,2025-03-07,20
311,207,LogX,2025-03-17,2025-03-24,35
312,4947,LogX,2025-03-19,2025-03-23,35
313,4331,LogX,2025-04-23,2025-04-28,35
314,2521,LogX,2025-01-12,2025-01-17,-5
315,1993,LogX,2025-05-07,2025-05-16,35
316,1496,Correios,2025-03-17,2025-03-15,-5
317,3741,LogX,2025-05-15,2025-05-15,35
318,4248,Correios,2025-06-17,2025-06-26,20
319,1872,LogX,2025-01-12,2025-01-18,20
320,2210,LogX,2025-04-26,2025-04-27,-5
321,2415,LogX,2025-03-11,2025-03-11,35
322,2293,Correios,2025-06-07,2025-06-14,-5
323,3525,LogX,2025-04-27,2025-04-29,35
324,2927,LogX,2025-05-18,2025-05-28,20
325,3227,LogX,2025-05-06,2025-05-05,35
326,220,LogX,2025-06-16,2025-06-18,-5
327,1256,LogX,2025-05-15,2025-05-13,-5
328,1337,Correios,2025-01-25,2025-02-03,20
329,3390,Correios,2025-03-28,2025-03-31,20
330,1808,Correios,2025-05-11,2025-05-15,35
331,1047,Correios,2025-03-28,2025-03-31,20
332,1590,LogX,2025-02-17,2025-02-18,-5
333,2606,LogX,2025-02-19,2025-02-18,20
334,4231,LogX,2025-02-26,2025-02-26,35
335,2575,Correios,2025-05-29,2025-05-29,35
336,1076,LogX,2025-02-13,2025-02-17,35
337,3946,Correios,2025-06-23,2025-07-03,20
338,522,Correios,2025-01-14,2025-01-21,20
339,3373,Correios,2025-06-20,2025-06-28,-5
340,2528,LogX,2025-03-08,2025-03-11,20
341,1732,Correios,2025-04-14,2025-04-13,35
342,2926,Correios,2025-06-02,2025-06-10,20
343,1246,Correios,2025-01-04,2025-01-07,-5
344,4724,LogX,2025-05-14,2025-05-23,35
345,640,LogX,2025-04-08,2025-04-06,-5
346,4160,Correios,2025-02-11,2025-02-10,20
347,2845,Correios,2025-04-05,2025-04-03,35
348,4316,LogX,2025-01-07,2025-01-11,35
349,1479,LogX,2025-05-29,2025-06-02,35
350,118,LogX,2025-06-03,2025-06-03,-5
351,4928,Correios,2025-05-12,2025-05-11,-5
352,4557,Correios,2025-03-19,2025-03-20,35
353,2314,Correios,2025-04-16,2025-04-18,20
354,1336,LogX,2025-03-17,2025-03-22,35
355,3943,Correios,2025-03-25,2025-04-02,20
356,2681,Correios,2025-05-15,2025-05-13,20
357,3712,LogX,2025-04-21,2025-04-25,-5
358,1673,LogX,2025-05-03,2025-05-10,20
359,3532,LogX,2025-06-24,2025-07-04,35
360,617,Correios,2025-06-13,2025-06-12,-5
361,4665,Correios,2025-04-07,2025-04-15,20
362,2821,LogX,2025-05-05,2025-05-15,35
363,4029,LogX,2025-06-16,2025-06-21,35
364,4744,Correios,2025-05-26,2025-05-29,35
365,1649,Correios,2025-05-07,2025-05-14,20
366,1969,LogX,2025-06-13,2025-06-16,20
367,2400,Correios,2025-03-06,2025-03-11,-5
368,3081,Correios,2025-03-17,2025-03-15,35
369,163,Correios,2025-05-25,2025-05-30,35
370,4905,LogX,2025-05-26,2025-06-04,-5
371,3597,LogX,2025-05-29,2025-05-28,35
372,3694,LogX,2025-05-15,2025-05-18,20
373,549,Correios,2025-01-31,2025-02-01,20
374,50,LogX,2025-01-22,2025-01-25,-5
375,2922,LogX,2025-01-08,2025-01-07,35
376,2610,Correios,2025-04-15,2025-04-23,35
377,2406,Correios,2025-03-27,2025-03-26,20
378,3520,LogX,2025-06-11,2025-06-12,35
379,2352,LogX,2025-01-11,2025-01-13,20
380,166,LogX,2025-04-07,2025-04-14,35
381,1710,LogX,2025-06-01,2025-06-06,-5
382,3569,Correios,2025-04-20,2025-04-18,20
383,2587,Correios,2025-02-26,2025-03-05,-5
384,3702,LogX,2025-03-22,2025-03-21,-5
385,3252,LogX,2025-05-26,2025-05-31,20
386,2986,LogX,2025-03-18,2025-03-21,-5
387,3647,Correios,2025-04-17,2025-04-16,20
388,3928,Correios,2025-05-08,2025-05-06,35
389,175,LogX,2025-02-21,2025-02-27,-5
390,157,LogX,2025-02-25,2025-03-04,35
391,1971,Correios,2025-02-02,2025-02-05,-5
392,3819,Correios,2025-02-11,2025-02-21,35
393,3430,LogX,2025-03-30,2025-04-02,35
394,2480,Correios,2025-05-31,2025-06-09,35
395,2856,Correios,2025-02-22,2025-02-28,20
396,3955,LogX,2025-01-06,2025-01-07,35
397,285,Correios,2025-05-04,2025-05-06,20
398,2513,LogX,2025-01-12,2025-01-22,20
399,4937,LogX,2025-02-17,2025-02-26,-5
400,1721,LogX,2025-01-31,2025-01-29,35
401,2420,LogX,2025-03-21,2025-03-31,-5
402,341,LogX,2025-04-06,2025-04-14,20
403,4638,Correios,2025-01-17,2025-01-15,35
404,4679,Correios,2025-05-14,2025-05-16,-5
405,1489,LogX,2025-06-30,2025-07-06,35
406,3655,Correios,2025-01-28,2025-01-26,35
407,84,LogX,2025-01-11,2025-01-14,35
408,467,LogX,2025-06-05,2025-06-12,35
409,283,Correios,2025-04-15,2025-04-17,-5
410,3124,LogX,2025-06-13,2025-06-19,35
411,4206,Correios,2025-01-25,2025-01-27,20
412,3825,Correios,2025-05-09,2025-05-19,35
413,3566,LogX,2025-02-27,2025-02-28,-5
414,2086,Correios,2025-04-28,2025-05-08,20
415,4694,LogX,2025-01-19,2025-01-23,35
416,4796,Correios,2025-06-30,2025-06-30,20
417,1355,Correios,2025-03-14,2025-03-22,20
418,4334,LogX,2025-03-28,2025-04-04,35
419,2709,Correios,2025-01-24,2025-02-03,-5
420,1523,LogX,2025-02-03,2025-02-10,20
421,781,LogX,2025-04-24,2025-04-24,20
422,993,LogX,2025-01-10,2025-01-11,35
423,535,LogX,2025-06-29,2025-06-29,20
424,4277,Correios,2025-04-27,2025-05-06,20
425,2234,LogX,2025-05-17,2025-05-19,20
426,4519,LogX,2025-03-29,2025-04-08,20
427,652,LogX,2025-04-22,2025-04-24,35
428,3654,LogX,2025-03-12,2025-03-12,35
429,4240,LogX,2025-03-06,2025-03-12,-5
430,2487,Correios,2025-04-27,2025-05-05,-5
431,1553,Correios,2025-05-22,2025-05-30,-5
432,804,LogX,2025-04-25,2025-04-26,20
433,4328,LogX,2025-02-04,2025-02-03,20
434,95,LogX,2025-03-31,2025-03-30,-5
435,3741,Correios,2025-04-14,2025-04-12,20
436,4879,LogX,2025-05-03,2025-05-03,35
437,550,LogX,2025-06-11,2025-06-10,20
438,2156,Correios,2025-04-01,2025-04-02,20
439,2151,Correios,2025-04-28,2025-05-05,35
440,377,LogX,2025-03-04,2025-03-14,20
441,3963,LogX,2025-01-23,2025-01-27,20
442,86,LogX,2025-06-01,2025-06-06,-5
443,237,LogX,2025-04-22,2025-05-01,35
444,4913,LogX,2025-04-01,2025-04-03,-5
445,2559,LogX,2025-05-24,2025-05-31,20
446,4206,LogX,2025-06-09,2025-06-12,-5
447,3928,LogX,2025-06-28,2025-06-29,20
448,4211,Correios,2025-01-19,2025-01-29,-5
449,2740,Correios,2025-06-23,2025-06-29,-5
450,4600,Correios,2025-05-30,2025-06-01,35
451,2515,Correios,2025-02-07,2025-02-14,-5
452,3010,LogX,2025-03-31,2025-04-10,20
453,248,Correios,2025-06-06,2025-06-15,20
454,3293,Correios,2025-02-11,2025-02-09,35
455,1395,Correios,2025-04-23,2025-04-28,35
456,4790,LogX,2025-01-12,2025-01-12,35
457,4645,Correios,2025-05-14,2025-05-21,-5
458,2269,LogX,2025-06-06,2025-06-14,20
459,4701,LogX,2025-06-07,2025-06-07,20
460,4780,Correios,2025-02-14,2025-02-18,35
461,4960,Correios,2025-03-29,2025-04-03,35
462,300,LogX,2025-03-20,2025-03-27,35
463,4843,LogX,2025-03-27,2025-03-29,-5
464,21,LogX,2025-03-30,2025-04-08,20
465,3505,LogX,2025-01-04,2025-01-03,-5
466,2548,Correios,2025-04-05,2025-04-04,35
467,1822,LogX,2025-03-20,2025-03-24,35
468,812,Correios,2025-03-24,2025-03-25,-5
469,13,Correios,2025-05-16,2025-05-16,20
470,3675,LogX,2025-04-18,2025-04-16,20
471,2898,Correios,2025-05-19,2025-05-18,-5
472,4226,LogX,2025-05-07,2025-05-07,20
473,1599,Correios,2025-04-07,2025-04-09,35
474,1833,Correios,2025-01-29,2025-01-27,20
475,120,LogX,2025-06-08,2025-06-09,20
476,3075,LogX,2025-02-08,2025-02-13,-5
477,3956,LogX,2025-05-21,2025-05-26,20
478,638,Correios,2025-04-11,2025-04-19,20
479,1705,LogX,2025-05-31,2025-06-05,35
480,4928,LogX,2025-03-18,2025-03-25,20
481,303,LogX,2025-06-10,2025-06-17,20
482,545,Correios,2025-04-25,2025-04-26,20
483,3711,Correios,2025-01-21,2025-01-26,-5
484,157,Correios,2025-01-09,2025-01-12,20
485,447,Correios,2025-04-06,2025-04-06,35
486,4963,Correios,2025-06-24,2025-07-02,20
487,4283,Correios,2025-04-11,2025-04-15,-5
488,2743,Correios,2025-04-11,2025-04-10,-5
489,2843,Correios,2025-06-21,2025-06-20,35
490,1742,Correios,2025-05-15,2025-05-14,35
491,2099,Correios,2025-04-14,2025-04-19,-5
492,2851,LogX,2025-05-06,2025-05-09,20
493,4725,LogX,2025-05-27,2025-05-28,20
494,4609,LogX,2025-02-25,2025-03-04,-5
495,3188,Correios,2025-02-07,2025-02-08,-5
496,340,LogX,2025-02-12,2025-02-17,20
497,1165,Correios,2025-03-31,2025-04-04,-5
498,4081,LogX,2025-05-28,2025-06-07,-5
499,3130,Correios,2025-03-23,2025-03-22,35
500,723,LogX,2025-03-07,2025-03-05,35
501,4099,Correios,2025-05-28,2025-06-07,20
502,333,LogX,2025-05-10,2025-05-20,-5
503,1453,LogX,2025-06-12,2025-06-14,35
504,3394,Correios,2025-05-23,2025-05-24,-5
505,1295,Correios,2025-06-10,2025-06-16,35
506,441,LogX,2025-05-22,2025-05-24,35
507,1748,Correios,2025-02-01,2025-02-11,-5
508,4467,LogX,2025-06-27,2025-07-07,-5
509,2697,LogX,2025-06-05,2025-06-11,35
510,881,LogX,2025-02-26,2025-03-02,20
511,126,Correios,2025-04-06,2025-04-10,-5
512,2647,LogX,2025-05-23,2025-05-26,20
513,1996,Correios,2025-06-13,2025-06-16,35
514,3312,LogX,2025-06-12,2025-06-12,-5
515,4406,LogX,2025-05-15,2025-05-25,20
516,2784,LogX,2025-03-07,2025-03-12,35
517,4736,Correios,2025-04-21,2025-04-27,20
518,2328,LogX,2025-04-23,2025-04-22,35
519,3697,Correios,2025-04-09,2025-04-19,35
520,2047,LogX,2025-03-08,2025-03-12,35
521,3706,LogX,2025-02-17,2025-02-26,20
522,2647,LogX,2025-03-21,2025-03-31,20
523,3751,Correios,2025-05-12,2025-05-12,20
524,2473,Correios,2025-05-28,2025-06-03,-5
525,2845,Correios,2025-05-29,2025-05-30,20
526,2287,Correios,2025-01-13,2025-01-20,20
527,4307,LogX,2025-02-15,2025-02-15,-5
528,2648,LogX,2025-01-28,2025-01-31,35
529,745,LogX,2025-05-27,2025-05-27,35
530,3533,Correios,2025-01-16,2025-01-14,35
531,3392,Correios,2025-01-27,2025-02-03,20
532,2320,Correios,2025-04-02,2025-04-11,35
533,39,LogX,2025-01-07,2025-01-15,20
534,2954,LogX,2025-01-13,2025-01-22,20
535,730,Correios,2025-06-24,2025-06-25,20
536,1702,Correios,2025-04-05,2025-04-13,-5
537,2697,LogX,2025-03-07,2025-03-06,20
538,647,Correios,2025-05-22,2025-05-21,35
539,2471,LogX,2025-06-23,2025-06-28,20
540,197,LogX,2025-05-15,2025-05-25,-5
541,2162,LogX,2025-02-13,2025-02-23,-5
542,3079,LogX,2025-01-03,2025-01-06,20
543,971,Correios,2025-04-16,2025-04-15,20
544,600,LogX,2025-01-16,2025-01-25,20
545,3171,Correios,2025-01-15,2025-01-13,20
546,1933,Correios,2025-03-08,2025-03-13,35
547,1949,Correios,2025-04-28,2025-05-02,35
548,4794,LogX,2025-06-10,2025-06-13,20
549,1587,Correios,2025-01-07,2025-01-11,20
550,735,Correios,2025-06-14,2025-06-19,-5
551,1690,Correios,2025-04-28,2025-05-05,-5
552,4795,LogX,2025-04-21,2025-04-29,20
553,2931,LogX,2025-06-07,2025-06-07,35
554,4423,LogX,2025-02-21,2025-02-26,-5
