pedido_id,cliente_id,produto_id,quantidade,valor_unitario,desconto,data_pedido,status
86,358,5,2,150.0,120,02/04/2025,Cancelado
87,283,74,4,150.0,120,19/06/2025,Cancelado
88,286,35,3,99.9,10,2025-01-22,Pago
89,201,88,5,150.0,10,13/03/2025,Pago
90,103,62,1,200.0,10,2025-04-16,Pago
91,441,57,1,99.9,0,21/01/2025,Pago
92,34,7,2,150.0,0,22/01/2025,Cancelado
93,311,33,5,200.0,0,2025-05-03,Enviado
94,426,80,3,99.9,0,2025-05-17,Pago
95,171,86,4,200.0,0,08/04/2025,Cancelado
96,219,62,1,150.0,10,2025-03-25,Enviado
97,447,14,3,200.0,0,19/06/2025,Pago
98,301,12,2,99.9,10,11/04/2025,Enviado
99,17,19,4,150.0,120,21/03/2025,Pago
100,138,70,1,150.0,120,21/05/2025,Pago
101,227,35,5,150.0,120,07/02/2025,Enviado
102,346,80,5,99.9,0,2025-04-12,Enviado
103,345,45,4,200.0,0,2025-02-27,Pago
104,170,31,2,200.0,0,2025-03-01,Enviado
105,327,33,5,200.0,120,11/02/2025,Cancelado
106,106,1,5,200.0,10,2025-04-19,Pago
106,9,34,3,99.9,10,2025-04-08,Pago
108,301,26,4,200.0,10,2025-04-18,Pago
109,419,81,2,99.9,0,30/05/2025,Pago
110,185,24,5,200.0,0,2025-05-21,Enviado
111,331,12,4,99.9,10,07/02/2025,Cancelado
112,361,6,2,200.0,0,24/04/2025,Pago
113,425,95,3,200.0,0,30/06/2025,Cancelado
114,235,66,5,150.0,0,2025-04-16,Pago
115,64,70,1,150.0,10,19/05/2025,Enviado
116,104,8,4,99.9,120,2025-04-28,Cancelado
117,262,92,5,200.0,120,15/05/2025,Cancelado
118,193,82,3,200.0,10,13/06/2025,Pago
119,278,32,2,99.9,0,2025-04-18,Cancelado
120,115,64,3,99.9,10,24/06/2025,Cancelado
121,28,37,2,99.9,0,29/04/2025,Enviado
122,277,87,3,200.0,120,18/06/2025,Cancelado
123,377,41,3,99.9,10,22/06/2025,Enviado
124,399,27,1,200.0,120,2025-03-26,Pago
125,367,65,4,150.0,10,2025-04-01,Cancelado
126,164,9,2,150.0,0,22/03/2025,Enviado
127,347,82,4,99.9,0,2025-05-11,Cancelado
128,265,76,2,150.0,10,2025-01-29,Pago
129,489,8,5,150.0,0,02/01/2025,Cancelado
130,97,78,1,150.0,0,21/02/2025,Cancelado
131,259,96,5,150.0,0,2025-02-15,Pago
132,215,89,1,99.9,120,2025-01-03,Cancelado
133,76,37,2,99.9,10,2025-03-16,Enviado
134,230,80,2,200.0,0,2025-03-20,Pago
135,497,46,4,99.9,120,05/06/2025,Pago
136,181,40,2,99.9,120,10/02/2025,Cancelado
137,497,80,5,200.0,120,2025-04-02,Enviado
138,410,86,1,99.9,10,04/02/2025,Enviado
139,323,57,1,150.0,120,29/04/2025,Pago
140,96,37,5,200.0,10,2025-01-07,Enviado
141,380,90,1,99.9,120,22/06/2025,Cancelado
142,41,8,5,150.0,0,2025-04-03,Pago
143,438,79,1,99.9,0,03/04/2025,Cancelado
144,125,52,2,99.9,0,30/04/2025,Cancelado
145,106,55,3,150.0,10,28/02/2025,Pago
146,144,41,3,200.0,120,11/06/2025,Pago
147,238,65,5,99.9,0,18/03/2025,Cancelado
148,181,33,1,99.9,120,29/01/2025,Cancelado
149,92,100,1,150.0,10,2025-03-29,Enviado
150,84,80,4,200.0,10,2025-02-28,Cancelado
151,499,21,5,150.0,10,2025-01-24,Enviado
152,359,69,4,200.0,120,2025-01-17,Pago
153,407,39,4,200.0,120,12/01/2025,Cancelado
154,171,67,3,200.0,0,2025-05-26,Cancelado
155,499,81,3,200.0,10,2025-02-26,Pago
156,150,66,1,150.0,10,07/06/2025,Enviado
157,345,76,5,200.0,0,2025-02-11,Enviado
158,147,9,5,200.0,0,2025-05-29,Pago
159,324,79,3,200.0,120,2025-06-24,Enviado
160,495,24,1,99.9,0,2025-04-30,Pago
161,461,56,2,99.9,0,10/04/2025,Pago
162,202,15,3,150.0,120,2025-03-04,Cancelado
163,382,41,4,200.0,0,14/05/2025,Pago
164,222,77,5,150.0,0,14/04/2025,Enviado
165,255,52,3,99.9,0,17/03/2025,Enviado
166,81,89,2,150.0,0,2025-04-20,Cancelado
167,396,1,3,150.0,10,2025-04-16,Cancelado
168,486,5,2,99.9,120,03/02/2025,Cancelado
169,66,18,2,150.0,0,2025-03-27,Cancelado
170,68,40,5,99.9,10,2025-02-20,Enviado
171,321,16,1,200.0,0,15/02/2025,Enviado
172,109,8,1,200.0,120,16/03/2025,Enviado
173,287,57,4,200.0,120,2025-03-10,Enviado
174,154,30,1,99.9,0,2025-03-29,Pago
175,386,52,2,200.0,0,2025-06-17,Cancelado
176,329,20,1,150.0,10,26/06/2025,Enviado
177,413,62,4,99.9,0,06/01/2025,Pago
178,35,96,3,99.9,10,10/05/2025,Enviado
179,327,8,3,99.9,0,2025-02-03,Pago
180,316,69,1,99.9,0,20/06/2025,Cancelado
181,269,83,5,99.9,10,13/01/2025,Enviado
182,183,58,1,150.0,0,2025-06-22,Pago
182,203,25,5,200.0,0,2025-05-27,Cancelado
184,440,87,4,200.0,0,2025-02-01,Enviado
185,154,12,5,99.9,120,21/03/2025,Enviado
186,298,37,4,150.0,120,23/04/2025,Enviado
187,156,75,3,99.9,120,29/04/2025,Pago
188,367,17,4,200.0,120,26/05/2025,Enviado
189,296,38,4,99.9,0,09/03/2025,Enviado
190,346,17,3,99.9,120,30/05/2025,Pago
191,133,49,1,99.9,0,28/03/2025,Cancelado
192,42,66,5,150.0,0,29/04/2025,Pago
193,349,99,3,200.0,120,2025-04-11,Pago
194,10,83,1,150.0,0,07/04/2025,Enviado
195,412,24,2,200.0,10,2025-04-25,Enviado
196,170,100,4,150.0,10,2025-02-21,Cancelado
197,319,78,5,99.9,120,21/06/2025,Enviado
198,125,13,4,99.9,10,2025-06-01,Pago
199,167,67,4,200.0,0,2025-06-28,Cancelado
200,392,12,4,150.0,120,28/02/2025,Pago
201,349,50,2,150.0,0,27/03/2025,Pago
202,210,95,5,200.0,120,2025-05-02,Enviado
203,479,16,3,150.0,0,2025-02-01,Enviado
204,500,87,4,150.0,120,2025-03-30,Cancelado
205,346,51,4,150.0,0,2025-01-11,Enviado
206,207,27,1,200.0,120,03/02/2025,Pago
207,223,4,3,99.9,0,14/04/2025,Enviado
208,305,23,2,200.0,10,18/04/2025,Pago
209,364,19,4,99.9,10,2025-05-21,Enviado
210,17,79,5,150.0,10,2025-03-18,Cancelado
211,380,82,5,150.0,120,23/01/2025,Cancelado
212,216,5,3,99.9,10,2025-04-25,Cancelado
213,484,12,1,99.9,0,16/02/2025,Cancelado
214,307,61,1,150.0,120,07/05/2025,Pago
215,394,14,4,200.0,10,2025-05-15,Enviado
216,424,74,5,150.0,10,03/01/2025,Enviado
217,68,56,2,99.9,120,2025-06-11,Enviado
218,181,61,4,200.0,0,18/03/2025,Enviado
219,37,92,5,150.0,0,2025-06-29,Cancelado
220,68,8,4,150.0,0,2025-02-11,Cancelado
221,253,96,1,99.9,120,11/01/2025,Enviado
222,335,93,3,150.0,10,2025-06-24,Cancelado
223,382,94,3,99.9,10,2025-06-20,Enviado
224,463,46,2,200.0,0,04/04/2025,Enviado
225,352,40,1,200.0,10,2025-05-17,Cancelado
226,2,1,5,99.9,10,2025-06-18,Pago
227,71,52,2,150.0,120,2025-04-06,Enviado
228,413,24,3,200.0,0,2025-03-11,Enviado
229,480,51,2,99.9,0,04/02/2025,Pago
230,112,1,5,200.0,0,2025-01-13,Enviado
231,315,49,3,99.9,10,24/04/2025,Enviado
232,416,79,5,99.9,10,2025-04-07,Cancelado
233,85,3,5,150.0,10,2025-04-25,Pago
234,308,93,2,99.9,0,17/01/2025,Enviado
235,263,26,4,99.9,0,2025-05-14,Cancelado
236,416,63,5,99.9,0,2025-02-02,Cancelado
237,281,86,2,150.0,120,2025-02-13,Cancelado
238,460,82,5,200.0,0,30/03/2025,Enviado
239,22,43,3,200.0,0,2025-03-02,Cancelado
240,307,3,5,99.9,0,23/03/2025,Cancelado
241,51,57,4,150.0,120,2025-01-13,Cancelado
242,99,98,2,200.0,10,28/01/2025,Pago
243,342,86,4,99.9,0,18/01/2025,Cancelado
244,394,62,5,99.9,10,2025-06-13,Cancelado
245,29,82,1,150.0,10,2025-05-11,Enviado
246,241,61,1,200.0,0,2025-02-20,Cancelado
247,220,94,2,200.0,120,2025-03-18,Cancelado
248,282,75,3,99.9,120,31/05/2025,Cancelado
249,419,62,2,99.9,0,10/05/2025,Enviado
250,44,52,4,150.0,0,30/04/2025,Enviado
251,184,77,4,200.0,120,2025-06-21,Enviado
252,198,34,5,150.0,0,2025-01-04,Cancelado
253,109,45,2,99.9,10,2025-01-26,Pago
254,215,37,2,99.9,120,2025-06-15,Enviado
255,63,43,4,99.9,10,2025-03-25,Enviado
256,170,85,5,99.9,0,04/06/2025,Pago
257,468,91,3,99.9,0,25/03/2025,Cancelado
258,33,41,3,99.9,10,19/05/2025,Enviado
259,237,25,4,150.0,0,23/04/2025,Enviado
260,132,40,4,150.0,120,01/02/2025,Pago
261,67,86,5,99.9,120,2025-04-02,Cancelado
262,274,69,2,99.9,120,2025-02-25,Cancelado
263,229,33,1,200.0,0,2025-01-14,Pago
264,48,22,2,99.9,0,2025-04-01,Enviado
265,368,81,5,99.9,120,06/06/2025,Cancelado
266,451,31,5,99.9,120,2025-06-10,Cancelado
267,464,66,5,150.0,10,20/04/2025,Pago
268,225,64,4,150.0,120,2025-04-28,Cancelado
269,269,43,3,200.0,0,2025-01-16,Cancelado
270,200,70,5,200.0,10,2025-02-09,Pago
271,315,22,4,150.0,120,2025-05-12,Pago
272,204,10,5,150.0,0,2025-01-12,Pago
273,205,44,2,99.9,120,26/06/2025,Cancelado
274,104,45,3,200.0,0,09/01/2025,Enviado
275,334,65,2,200.0,0,2025-03-20,Enviado
276,1,56,2,99.9,10,2025-06-26,Pago
277,148,67,4,200.0,120,2025-04-22,Enviado
278,412,91,3,150.0,0,2025-05-27,Enviado
279,404,72,4,150.0,120,2025-01-31,Pago
280,30,75,3,200.0,10,2025-04-29,Cancelado
281,148,69,1,200.0,0,2025-04-28,Cancelado
282,44,55,3,200.0,120,2025-04-21,Enviado
283,368,84,5,200.0,10,28/05/2025,Cancelado
284,302,69,2,99.9,0,30/04/2025,Enviado
285,230,86,2,99.9,10,04/01/2025,Pago
286,95,68,1,200.0,0,2025-01-22,Cancelado
287,390,54,3,150.0,120,2025-02-13,Enviado
288,169,96,1,200.0,120,2025-03-01,Pago
289,58,29,5,200.0,0,11/06/2025,Enviado
290,90,88,5,99.9,120,02/01/2025,Enviado
291,76,47,4,99.9,120,19/04/2025,Enviado
292,63,65,3,99.9,10,2025-05-23,Cancelado
293,183,15,5,150.0,10,2025-01-15,Pago
294,174,45,2,150.0,10,22/05/2025,Pago
295,241,21,5,150.0,10,28/02/2025,Pago
296,324,11,5,150.0,10,2025-04-27,Pago
297,321,19,4,150.0,10,2025-06-08,Cancelado
298,159,3,3,150.0,10,03/03/2025,Enviado
299,362,11,1,150.0,10,2025-03-29,Pago
300,191,80,4,99.9,0,2025-06-02,Pago
301,494,25,1,99.9,120,2025-06-21,Pago
302,176,19,1,150.0,120,2025-04-16,Pago
303,365,98,1,99.9,0,08/06/2025,Pago
304,112,88,3,150.0,10,2025-04-07,Enviado
305,299,47,2,99.9,0,16/03/2025,Pago
306,181,77,5,200.0,10,2025-04-03,Enviado
307,223,44,5,150.0,120,2025-01-15,Cancelado
308,198,67,5,150.0,0,2025-05-13,Enviado
309,313,20,2,200.0,10,26/01/2025,Cancelado
310,446,80,3,150.0,10,09/03/2025,Pago
311,1,74,1,150.0,120,2025-04-27,Enviado
312,186,58,3,200.0,10,2025-01-19,Cancelado
313,67,88,4,150.0,120,2025-06-21,Cancelado
314,61,24,4,150.0,120,2025-01-10,Cancelado
315,77,10,3,99.9,120,16/01/2025,Pago
316,378,30,2,200.0,0,07/06/2025,Pago
317,77,21,3,200.0,0,29/05/2025,Pago
318,232,12,1,200.0,120,24/06/2025,Pago
319,137,99,1,99.9,120,2025-04-08,Pago
320,145,68,1,200.0,10,2025-02-26,Pago
321,77,98,3,99.9,120,2025-06-01,Enviado
322,119,30,3,200.0,10,26/03/2025,Enviado
323,472,9,3,200.0,120,2025-06-21,Pago
324,190,77,3,200.0,0,2025-05-20,Cancelado
325,186,74,5,150.0,120,22/05/2025,Cancelado
326,435,53,1,200.0,0,2025-05-01,Pago
327,360,78,5,200.0,0,25/03/2025,Pago
328,193,7,1,150.0,120,06/06/2025,Enviado
329,38,14,3,99.9,10,29/05/2025,Cancelado
330,215,91,4,99.9,0,2025-02-10,Pago
331,342,11,5,200.0,120,2025-06-20,Pago
332,132,8,4,150.0,10,2025-02-18,Cancelado
333,107,28,1,99.9,10,01/02/2025,Cancelado
334,99,54,1,150.0,120,26/03/2025,Cancelado
335,349,59,5,200.0,120,2025-01-23,Pago
336,15,25,2,150.0,10,13/03/2025,Enviado
337,237,92,1,200.0,120,2025-06-05,Enviado
338,40,56,3,200.0,120,2025-02-23,Pago
339,160,73,2,150.0,10,2025-03-21,Cancelado
340,84,31,5,99.9,120,2025-01-19,Pago
341,306,12,5,150.0,10,23/02/2025,Enviado
342,225,37,5,150.0,0,2025-05-26,Enviado
343,442,13,4,150.0,10,2025-06-11,Enviado
344,498,88,1,150.0,0,2025-01-09,Pago
345,202,72,2,200.0,10,12/05/2025,Enviado
346,474,53,5,150.0,0,31/05/2025,Enviado
346,410,97,3,150.0,120,14/05/2025,Pago
348,239,5,3,99.9,120,2025-02-22,Pago
349,255,18,4,150.0,120,13/06/2025,Pago
350,87,7,3,150.0,0,2025-06-24,Enviado
351,107,81,2,99.9,0,2025-06-17,Cancelado
352,385,52,5,150.0,10,10/06/2025,Pago
353,353,44,1,150.0,10,2025-03-24,Pago
354,250,88,1,99.9,10,04/01/2025,Enviado
355,224,6,4,99.9,0,2025-01-29,Enviado
356,172,45,5,150.0,0,17/03/2025,Pago
357,229,7,5,200.0,10,2025-02-22,Enviado
358,364,84,4,99.9,0,2025-01-09,Pago
358,17,66,5,200.0,0,27/02/2025,Enviado
360,171,21,2,99.9,0,2025-01-28,Pago
361,41,89,2,99.9,120,2025-06-26,Cancelado
362,127,19,2,200.0,0,08/03/2025,Pago
363,89,99,1,200.0,120,2025-04-06,Cancelado
364,300,62,4,99.9,120,2025-01-02,Cancelado
365,258,76,5,200.0,10,2025-03-27,Enviado
366,412,38,4,200.0,10,29/05/2025,Pago
367,463,9,3,200.0,10,13/01/2025,Cancelado
368,361,19,5,200.0,120,26/03/2025,Enviado
369,447,33,4,150.0,120,17/04/2025,Pago
370,369,13,4,99.9,120,11/01/2025,Enviado
371,161,49,1,99.9,120,31/03/2025,Enviado
372,256,44,5,99.9,10,2025-05-10,Pago
373,125,63,3,99.9,0,2025-05-22,Pago
374,157,71,5,200.0,0,20/04/2025,Pago
375,384,98,1,200.0,0,2025-06-25,Pago
376,349,34,2,99.9,0,02/04/2025,Enviado
377,424,60,2,200.0,120,17/02/2025,Enviado
378,489,41,5,200.0,120,24/03/2025,Pago
379,446,37,1,99.9,0,2025-02-19,Cancelado
380,368,58,2,150.0,0,2025-01-14,Enviado
381,378,9,3,150.0,10,2025-04-02,Enviado
382,476,93,5,150.0,120,2025-03-20,Cancelado
383,314,12,1,99.9,0,2025-06-11,Pago
384,469,58,1,200.0,0,2025-02-25,Cancelado
385,92,25,5,99.9,10,2025-02-21,Enviado
386,442,13,3,99.9,120,04/02/2025,Enviado
387,245,9,1,150.0,10,08/05/2025,Cancelado
388,74,91,1,99.9,10,16/04/2025,Pago
389,11,65,4,99.9,120,2025-06-15,Cancelado
390,244,61,1,200.0,0,2025-03-13,Cancelado
391,125,15,4,200.0,120,2025-06-02,Enviado
392,424,3,2,200.0,120,20/03/2025,Cancelado
393,491,1,2,200.0,120,10/06/2025,Pago
394,26,17,5,200.0,10,2025-04-26,Pago
395,25,64,5,150.0,0,2025-04-12,Enviado
396,31,14,5,150.0,0,2025-05-06,Cancelado
397,81,91,4,200.0,10,30/04/2025,Enviado
398,248,23,3,200.0,0,2025-03-18,Pago
399,40,16,3,200.0,0,27/01/2025,Enviado
400,352,47,1,150.0,0,26/02/2025,Enviado
401,299,56,1,200.0,120,2025-05-20,Cancelado
402,196,60,4,150.0,10,2025-06-03,Cancelado
403,360,2,1,99.9,10,27/03/2025,Pago
404,352,65,5,150.0,0,2025-01-22,Enviado
404,384,68,2,150.0,10,17/06/2025,Pago
406,467,27,4,150.0,10,10/05/2025,Enviado
407,16,73,5,200.0,120,2025-04-11,Pago
408,80,33,2,150.0,120,2025-04-14,Cancelado
409,53,21,5,200.0,120,21/05/2025,Pago
410,339,70,1,150.0,10,2025-03-21,Cancelado
411,166,33,2,200.0,120,2025-03-06,Enviado
412,56,78,2,150.0,0,2025-06-08,Pago
413,267,97,5,200.0,120,25/06/2025,Enviado
414,59,70,5,99.9,0,14/06/2025,Cancelado
415,21,43,1,150.0,120,2025-06-03,Pago
416,127,85,5,99.9,120,05/04/2025,Enviado
417,110,81,2,150.0,10,10/02/2025,Enviado
418,367,73,5,150.0,0,2025-06-14,Enviado
419,128,59,2,150.0,0,2025-01-17,Enviado
420,18,72,1,200.0,10,25/01/2025,Enviado
421,135,37,3,200.0,10,07/01/2025,Pago
422,324,49,4,99.9,0,2025-01-23,Pago
423,368,93,3,99.9,0,27/06/2025,Cancelado
424,180,21,1,99.9,120,2025-02-05,Cancelado
425,34,6,3,200.0,120,02/03/2025,Pago
426,351,91,1,150.0,10,04/04/2025,Enviado
427,399,67,1,200.0,0,2025-03-16,Pago
428,14,32,2,200.0,120,06/01/2025,Cancelado
429,55,49,5,200.0,0,2025-06-13,Pago
430,105,100,3,99.9,10,25/02/2025,Cancelado
431,234,26,1,150.0,0,23/03/2025,Cancelado
432,122,64,4,150.0,120,2025-02-23,Cancelado
433,325,62,3,99.9,10,01/04/2025,Enviado
434,345,61,4,200.0,120,05/06/2025,Pago
435,48,83,3,200.0,0,09/05/2025,Pago
436,155,93,4,99.9,0,10/03/2025,Pago
437,380,100,3,200.0,10,2025-03-16,Cancelado
438,358,5,2,200.0,10,2025-01-12,Cancelado
439,320,66,3,200.0,10,2025-03-24,Cancelado
440,455,72,2,99.9,10,14/04/2025,Pago
441,354,25,3,99.9,0,2025-04-10,Cancelado
442,92,41,1,200.0,120,18/02/2025,Pago
443,461,68,1,200.0,0,18/02/2025,Pago
444,368,97,1,200.0,120,2025-02-07,Enviado
445,446,23,4,200.0,0,2025-02-14,Enviado
446,475,83,1,99.9,0,27/03/2025,Cancelado
447,88,35,5,99.9,10,19/01/2025,Enviado
448,93,41,1,200.0,120,24/05/2025,Enviado
449,266,15,1,150.0,0,2025-03-19,Pago
450,444,64,3,150.0,120,19/05/2025,Enviado
451,239,33,4,200.0,0,2025-01-27,Cancelado
452,127,71,2,99.9,10,2025-05-03,Pago
453,190,14,1,150.0,10,2025-01-14,Pago
454,80,62,1,150.0,10,2025-05-18,Pago
455,153,63,1,200.0,10,26/03/2025,Cancelado
456,144,47,2,99.9,0,11/06/2025,Cancelado
457,361,40,5,150.0,10,19/05/2025,Pago
458,111,14,1,99.9,0,2025-06-07,Pago
459,292,10,2,150.0,120,2025-04-27,Pago
460,56,1,4,200.0,10,17/04/2025,Enviado
461,72,77,2,150.0,10,2025-02-06,Enviado
462,52,40,4,99.9,120,12/06/2025,Pago
463,477,21,2,200.0,10,2025-03-07,Pago
464,245,65,4,99.9,0,2025-04-13,Pago
465,309,92,2,150.0,10,09/02/2025,Pago
466,178,22,2,200.0,10,10/05/2025,Cancelado
467,325,32,4,150.0,0,2025-03-07,Enviado
468,165,98,4,150.0,10,19/02/2025,Pago
469,179,91,3,200.0,10,02/02/2025,Pago
470,172,7,2,200.0,120,05/04/2025,Pago
471,373,37,4,200.0,0,23/05/2025,Cancelado
472,16,22,2,200.0,10,06/04/2025,Enviado
473,99,16,3,200.0,120,2025-04-25,Cancelado
474,225,40,4,150.0,0,2025-02-26,Cancelado
475,400,89,1,200.0,120,2025-01-29,Pago
476,343,43,2,99.9,0,2025-01-09,Enviado
477,360,13,2,150.0,10,18/03/2025,Cancelado
478,43,60,2,99.9,120,2025-01-16,Enviado
479,336,74,4,150.0,120,16/03/2025,Pago
480,130,21,2,200.0,120,2025-05-22,Cancelado
481,204,51,2,99.9,10,2025-06-27,Enviado
482,475,28,2,150.0,120,2025-05-19,Enviado
483,60,84,3,99.9,0,20/01/2025,Cancelado
484,309,7,2,150.0,10,12/06/2025,Pago
485,327,75,2,200.0,10,10/02/2025,Cancelado
486,145,17,5,99.9,0,2025-05-29,Enviado
487,5,67,3,200.0,120,2025-05-17,Enviado
488,247,70,5,99.9,0,09/01/2025,Enviado
489,109,87,2,200.0,10,2025-06-12,Pago
490,172,32,4,150.0,120,23/02/2025,Enviado
491,45,5,3,150.0,0,2025-02-16,Enviado
492,309,48,3,99.9,0,21/03/2025,Pago
493,442,85,3,150.0,0,2025-02-11,Pago
494,235,27,5,99.9,10,14/02/2025,Cancelado
495,455,64,5,200.0,0,31/03/2025,Enviado
496,435,8,4,150.0,10,20/01/2025,Pago
497,394,79,1,150.0,0,19/03/2025,Pago
497,104,70,5,150.0,10,2025-04-28,Enviado
499,470,29,2,200.0,120,27/06/2025,Pago
500,19,50,3,99.9,120,11/06/2025,Pago
501,428,23,2,99.9,10,19/04/2025,Pago
502,390,54,5,200.0,120,20/01/2025,Cancelado
503,113,26,1,99.9,120,17/01/2025,Cancelado
504,168,55,3,150.0,10,2025-06-30,Pago
505,323,36,1,200.0,120,27/04/2025,Pago
506,156,48,2,200.0,10,02/04/2025,Enviado
507,486,53,1,150.0,0,21/05/2025,Enviado
508,111,42,4,150.0,0,2025-05-28,Cancelado
509,37,38,5,200.0,0,02/02/2025,Cancelado
510,323,86,5,99.9,10,2025-04-09,Pago
511,189,79,5,200.0,120,2025-04-07,Cancelado
512,433,90,3,200.0,0,2025-04-29,Cancelado
513,10,5,4,200.0,120,08/05/2025,Enviado
514,351,55,3,150.0,10,28/01/2025,Cancelado
515,263,88,2,99.9,0,17/01/2025,Cancelado
516,494,89,5,150.0,120,26/02/2025,Pago
517,483,30,3,200.0,0,2025-05-18,Pago
518,252,98,1,150.0,0,2025-02-21,Cancelado
519,415,62,2,150.0,120,2025-01-22,Cancelado
520,475,99,1,200.0,0,2025-02-12,Cancelado
521,53,93,3,99.9,10,2025-05-17,Enviado
522,38,44,4,150.0,10,2025-01-08,Cancelado
523,487,12,5,150.0,120,12/03/2025,Pago
524,421,99,3,150.0,10,27/01/2025,Cancelado
525,422,19,2,99.9,120,2025-02-22,Enviado
526,176,33,3,99.9,0,2025-02-17,Enviado
527,123,13,5,150.0,120,06/03/2025,Cancelado
528,80,68,4,200.0,0,29/05/2025,Pago
529,169,17,5,99.9,10,22/05/2025,Pago
530,18,53,3,99.9,120,08/01/2025,Enviado
531,259,38,5,150.0,10,25/06/2025,Cancelado
532,482,20,3,99.9,120,05/05/2025,Pago
533,165,28,2,150.0,0,16/01/2025,Cancelado
534,136,52,3,150.0,10,02/01/2025,Enviado
535,9,60,4,150.0,120,30/04/2025,Enviado
536,188,82,4,99.9,0,09/06/2025,Enviado
